U+FF0A	＊	星
U+5350	卐	纳粹
U+534D	卍	万
U+33D8	㏘	下午 pmpm
U+33C7	㏇	公司 coco
U+33C2	㏂	上午 amam
U+327F	㉿	kkkk
U+3231	㈱	株式会社 株
U+303C	〼	方框
U+3020	〠	邮政
U+3013	〓	相容等号
U+3012	〒	邮政
U+3004	〄	工业标准
U+27B9	➹	箭头 右上
U+27B7	➷	箭头 右下
U+2767	❧	爱心
U+2766	❦	 爱心
U+2764	❤	爱心
U+2749	❉	星
U+2748	❈	星
U+2743	❃	星
U+2742	❂	星
U+2741	❁	花 鲜花
U+2740	❀	花 鲜花
U+273F	✿	花 鲜花
U+2732	✲	星
U+272A	✪	星
U+271F	✟	十字 十字架
U+271A	✚	十字 加 加号
U+2719	✙	十字 加 加号
U+2718	✘	叉 错
U+2716	✖	叉 错
U+2714	✔	勾 对
U+270E	✎	铅笔
U+270D	✍	写字
U+270C	✌	yeah 胜利
U+2709	✉	信息
U+2708	✈	飞机
U+2704	✄	剪刀
U+2701	✁	剪刀
U+26BF	⚿	平方键
U+26BE	⚾	棒球
U+26BD	⚽	足球
U+26BC	⚼	八分之三相
U+26BB	⚻	梅花形
U+26B9	⚹	六分相
U+26B8	⚸	黑月莉莉丝 黑月 莉莉丝
U+26B7	⚷	凯龙 小行星
U+26B6	⚶	维斯塔 灶神星 小行星
U+26B5	⚵	朱诺 小行星
U+26B4	⚴	帕拉斯 小行星
U+26B3	⚳	谷神星 小行星
U+26B2	⚲	中性
U+26B1	⚱	骨灰
U+26B0	⚰	棺材
U+26AF	⚯	未婚
U+26AE	⚮	离婚
U+26AD	⚭	结婚
U+26AC	⚬	中小空心圆圈 圆圈
U+26AB	⚫	中等实心圆圈 圆圈
U+26AA	⚪	中等空心圆圈 圆圈
U+26A9	⚩	带粗线的水平雄性 雄性
U+26A8	⚨	带粗线的竖直雄性 雄性
U+26A7	⚧	带粗线的雄性与雌雄 雌雄
U+26A6	⚦	带粗线的雄性 雄性
U+26A5	⚥	雌雄
U+26A4	⚤	雌雄互锁
U+26A3	⚣	双雄性
U+26A2	⚢	双雌性
U+2689	⚉	带两个空心点的实心圆圈 圆圈
U+2688	⚈	右侧带空心点的实心圆圈 圆圈
U+2687	⚇	带两点的空心圆圈 圆圈
U+2686	⚆	右侧带点的空心圆圈 圆圈
U+2685	⚅	骰子
U+2684	⚄	骰子
U+2683	⚃	骰子
U+2682	⚂	骰子
U+2681	⚁	骰子
U+2680	⚀	骰子
U+267F	♿	轮椅
U+267E	♾	永久性纸
U+267D	♽	再生纸
U+267C	♼	再生纸
U+267B	♻	回收 再循环
U+267A	♺	回收 再循环
U+2679	♹	回收 再循环
U+2678	♸	回收 再循环
U+2677	♷	回收 再循环
U+2676	♶	回收 再循环
U+2675	♵	回收 再循环
U+2674	♴	回收 再循环
U+2673	♳	回收 再循环
U+2672	♲	回收 再循环
U+2671	♱	东叙利亚十字 十字
U+2670	♰	西叙利亚十字 十字
U+266F	♯	音乐升半音 音符
U+266E	♮	音乐还原 音符
U+266D	♭	音乐降半音 音符
U+266C	♬	带梁的十六分音符 音符
U+266B	♫	带梁的八分音符 音符
U+266A	♪	八分音符 音符
U+2669	♩	四分音符 音符
U+2668	♨	温泉
U+2667	♧	梅花 扑克
U+2666	♦	方块 方片 扑克
U+2665	♥	红桃 扑克
U+2664	♤	黑桃 扑克
U+2663	♣	梅花 扑克
U+2662	♢	方块 方片 扑克
U+2661	♡	红桃 扑克
U+2660	♠	黑桃 扑克
U+265F	♟	兵
U+265E	♞	马
U+265D	♝	相
U+265C	♜	车
U+265B	♛	后
U+265A	♚	王
U+2659	♙	兵
U+2658	♘	马
U+2657	♗	相
U+2656	♖	车
U+2655	♕	后
U+2654	♔	王
U+2647	♇	冥王星
U+2646	♆	海王星
U+2645	♅	天王星
U+2644	♄	土星
U+2643	♃	木星
U+2642	♂	雄性 男性
U+2641	♁	地球
U+2640	♀	雌性 女性
U+263F	☿	水星
U+263E	☾	下弦月 月亮 月
U+263D	☽	上弦月 月亮 月
U+263C	☼	太阳 日
U+2638	☸	达摩法轮 法轮
U+262F	☯	阴阳 太极
U+262E	☮	和平 世界和平
U+262D	☭	斧头和镰刀 工农
U+262C	☬	坎达
U+262B	☫	波斯语
U+262A	☪	星和新月
U+2629	☩	耶路撒冷十字 十字
U+2628	☨	洛林十字 十字
U+2627	☧	凯乐
U+2626	☦	东正教十字 十字
U+2625	☥	十字章 十字
U+2624	☤	墨丘利节杖
U+2623	☣	生物危害
U+2622	☢	放射性
U+2621	☡	警告
U+2620	☠	骷髅和交叉腿骨 骷髅
U+261F	☟	空心下指索引 向下
U+261E	☞	空心右指索引 向右
U+261D	☝	空心上指索引 向上
U+261C	☜	空心左指索引 向左
U+261B	☛	实心右指索引 向右
U+261A	☚	实心左指索引 向左
U+2619	☙	横翻旋转花心加重号
U+2618	☘	三叶草
U+2617	☗	棋子 黑色的将棋棋子
U+2616	☖	棋子 白色的将棋棋子
U+2615	☕	热饮料 咖啡
U+2614	☔	带雨点的雨伞 雨伞
U+2613	☓	叉型十字
U+2612	☒	投票箱 带叉的投票箱 叉 错
U+2611	☑	投票箱 带对钩的投票箱 对 勾
U+2610	☐	投票箱
U+260F	☏	电话 空心电话
U+260E	☎	电话 实心电话
U+260D	☍	相反
U+260C	☌	关联
U+260B	☋	向下节点
U+260A	☊	向上节点
U+2609	☉	太阳
U+2608	☈	雷暴
U+2607	☇	闪电
U+2606	☆	星 空心星
U+2605	★	星 实心星
U+2604	☄	彗星
U+2603	☃	雪人
U+2602	☂	伞 雨伞
U+2601	☁	云 云朵
U+2600	☀	太阳 放射光线的实心太阳
U+25FF	◿	三角形 右下三角形
U+25FE	◾	方块 实心中小方形
