U+209F	₟	下标
U+209E	₞	下标
U+209D	₝	下标
U+209C	ₜ	下标 下标秩
U+209B	ₛ	下标 下标林
U+209A	ₚ	下标 下标之
U+2099	ₙ	下标 下标已
U+2098	ₘ	下标 下标册
U+2097	ₗ	下标 下标田
U+2096	ₖ	下标 下标吕
U+2095	ₕ	下标 下标步
U+2094	ₔ	下标 下标朋
U+2093	ₓ	下标 下标比
U+2092	ₒ	下标 下标炎
U+2091	ₑ	下标 下标朋
U+2090	ₐ	下标 下标式
U+208F	₏	下标
U+208E	₎	下标 下标右圆括号
U+208D	₍	下标 下标左圆括号
U+208C	₌	下标 下标等号
U+208B	₋	下标 下标负号
U+208A	₊	下标 下标正号
U+2089	₉	下标 下标九
U+2088	₈	下标 下标八
U+2087	₇	下标 下标七
U+2086	₆	下标 下标六
U+2085	₅	下标 下标五
U+2084	₄	下标 下标四
U+2083	₃	下标 下标三
U+2082	₂	下标 下标二
U+2081	₁	下标 下标一
U+2080	₀	下标 下标炎
U+207F	ⁿ	上标 上标已
U+207E	⁾	上标 上标右圆括号
U+207D	⁽	上标 上标左圆括号
U+207C	⁼	上标 上标等号
U+207B	⁻	上标 上标负号
U+207A	⁺	上标 上标正号
U+2079	⁹	上标 上标九
U+2078	⁸	上标 上标八
U+2077	⁷	上标 上标七
U+2076	⁶	上标 上标六
U+2075	⁵	上标 上标五
U+2074	⁴	上标 上标四
U+2073	⁳	上标
U+2072	⁲	上标
U+2071	ⁱ	上标 上标水
U+2070	⁰	上标 上标炎
