U+312F	ㄯ	注音符号 nnnn
U+312E	ㄮ	注音符号 oooo
U+312D	ㄭ	注音符号 ihih
U+312C	ㄬ	注音符号 gngn
U+312B	ㄫ	注音符号 ngng
U+312A	ㄪ	注音符号 vvvv
U+3129	ㄩ	注音符号 iuiu
U+3128	ㄨ	注音符号 uuuu
U+3127	ㄧ	注音符号 iiii
U+3126	ㄦ	注音符号 erer
U+3125	ㄥ	注音符号 eng
U+3124	ㄤ	注音符号 ang
U+3123	ㄣ	注音符号 enen
U+3122	ㄢ	注音符号 anan
U+3121	ㄡ	注音符号 ouou
U+3120	ㄠ	注音符号 auau
U+311F	ㄟ	注音符号 eiei
U+311E	ㄞ	注音符号 aiai
U+311D	ㄝ	注音符号 eheh
U+311C	ㄜ	注音符号 eeee
U+311B	ㄛ	注音符号 oooo
U+311A	ㄚ	注音符号 aaaa
U+3119	ㄙ	注音符号 sisi
U+3118	ㄘ	注音符号 cici
U+3117	ㄗ	注音符号 xixi
U+3116	ㄖ	注音符号 riri
U+3115	ㄕ	注音符号 shi
U+3114	ㄔ	注音符号 chi
U+3113	ㄓ	注音符号 xhi
U+3112	ㄒ	注音符号 xxxx
U+3111	ㄑ	注音符号 qqqq
U+3110	ㄐ	注音符号 jjjj
U+310F	ㄏ	注音符号 hhhh
U+310E	ㄎ	注音符号 kkkk
U+310D	ㄍ	注音符号 gggg
U+310C	ㄌ	注音符号 llll
U+310B	ㄋ	注音符号 nnnn
U+310A	ㄊ	注音符号 tttt
U+3109	ㄉ	注音符号 dddd
U+3108	ㄈ	注音符号 ffff
U+3107	ㄇ	注音符号 mmmm
U+3106	ㄆ	注音符号 pppp
U+3105	ㄅ	注音符号 bbbb
